################
### Caucasus ###
################

caucasus_et1 = 01014d
caucasus_et2 = 01014e
caucasus_et3 = 01014f
caucasus_et4 = 010150
caucasus_et5 = 010151
caucasus_et6 = 010152
lesser_caucasus_et1 = 010153
lesser_caucasus_et2 = 010154
lesser_caucasus_et3 = 010155

################
# Central Asia #
################

uchquduq = cda100
zarafshon = 6abb00
tambybulak = bccc00
alty_kuduk = 896d00 #Modern Aral
kyzyl_su = cda101
huday_dag = 6abb01 #Modern Gumdag
kyzyl_kala = bccc01 #Including Toprak Kala

#CORRIDORS
kyzylkum_corridor1 = ffff00
kyzylkum_corridor2 = ffff01
kyzylkum_corridor3 = ffff02
kyzylkum_corridor4 = ffff03
kyzylkum_corridor5 = ffff04
kyzylkum_corridor6 = ffff05
aral_kum_corridor1 = ffff06
karakum_corridor1 = ffff07

#WASTELANDS
ust_yurt_plateau3 = 010100
ust_yurt_plateau4 = 010101
kyzylkum_desert2 = 010102
ugam_range1 = 010103
ugam_range2 = 016D02
tian_shan16 = 010104
#tian_shan17 = 010105
hissar_mountains4 = 010106
tian_shan18 = 010107
tian_shan19 = 010108
tian_shan20 = 010109
tian_shan21 = 01010a
tian_shan22 = 01010b
tian_shan23 = 01010c
tian_shan24 = 01010d
kyzylkum_desert3 = 01014a
kyzylkum_desert4 = 01014b
kyzylkum_desert5 = 01014c

################
#### Arabia ####
################

adam = 896d01
haima = cda102
thumrait = 6abb02
al_mazyunah = bccc02
al_abr = 896d02
sharurah = cda103
rumah_yemen = 6abb03
shaybah = bccc03
ruwaished = 896d03
rutba = cda104
umm_rashrash = 6abb04
khasab = bccc04

#CORRIDORS
rub_al_khali_corridor1 = ffff08
rub_al_khali_corridor2 = ffff09
rub_al_khali_corridor3 = ffff0a
rub_al_khali_corridor4 = ffff0b
rub_al_khali_corridor5 = ffff0c
rub_al_khali_corridor6 = ffff0d
rub_al_khali_corridor7 = ffff0e
rub_al_khali_corridor8 = ffff0f
rub_al_khali_corridor9 = ffff10
rub_al_khali_corridor10 = ffff11
jordan_desert_corridor1 = ffff12
syrian_desert_corridor_et = ffff13
rub_al_khali_corridor11 = ffff14
rub_al_khali_corridor12 = ffff15

#WASTELANDS
rub_al_khali3 = 0101ac
rub_al_khali4 = 01010e
rub_al_khali5 = 010135
rub_al_khali6 = 010110
rub_al_khali7 = 010111
rub_al_khali8 = 010112
rub_al_khali9 = 010113
rub_al_khali10 = 010114
rub_al_khali11 = 010115
rub_al_khali12 = 010116
